HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5
Wigan,Tottenham,2,2,D,3.8,3.6,2.05,1.75,2.06
Arsenal,Man United,1,1,D,2.25,3.6,3.3,1.72,2.1
Chelsea,Swansea,2,0,H,1.36,5.5,9.0,1.52,2.45
Reading,QPR,0,0,D,2.55,3.5,2.88,1.86,1.94
Aston Villa,Sunderland,6,1,H,2.3,3.4,3.4,2.0,1.8
Fulham,Reading,2,4,A,1.73,3.9,5.25,1.72,2.11
Norwich,Aston Villa,1,2,A,2.55,3.3,3.0,1.98,1.82
QPR,Arsenal,0,1,A,8.0,4.75,1.44,1.64,2.23
Swansea,Man City,0,0,D,5.25,3.8,1.75,1.88,1.92
Tottenham,Southampton,1,0,H,1.44,4.75,8.0,1.67,2.18
West Brom,Wigan,2,3,A,2.45,3.5,3.0,1.77,2.05
West Ham,Newcastle,0,0,D,2.38,3.4,3.25,1.82,1.99
Liverpool,Everton,0,0,D,1.95,3.6,4.2,1.78,2.04
Man United,Chelsea,0,1,A,2.2,3.5,3.5,1.72,2.1
Sunderland,Stoke,1,1,D,2.1,3.3,4.0,2.34,1.58
Man City,West Brom,1,0,H,1.4,5.0,9.0,1.53,2.43
Wigan,Swansea,2,3,A,1.83,3.75,4.75,1.89,1.91
Chelsea,Tottenham,2,2,D,1.95,3.75,4.0,1.71,2.12
Aston Villa,Chelsea,1,2,A,4.5,3.8,1.85,1.69,2.14
Everton,West Ham,2,0,H,1.5,4.5,7.5,1.75,2.06
Fulham,Liverpool,1,3,A,3.9,3.6,2.05,1.67,2.17
Man United,Swansea,2,1,H,1.3,5.75,12.0,1.49,2.5
Norwich,West Brom,4,0,H,2.2,3.4,3.6,1.89,1.91
QPR,Newcastle,1,2,A,3.4,3.4,2.3,1.88,1.91
Stoke,Tottenham,1,2,A,4.5,3.6,1.91,2.05,1.76
Sunderland,Southampton,1,1,D,2.8,3.2,2.8,2.11,1.71
Arsenal,Wigan,4,1,H,1.4,5.5,8.0,1.44,2.67
Reading,Man City,0,2,A,6.0,4.33,1.6,1.55,2.38
Chelsea,Everton,2,1,H,1.7,4.0,5.5,1.66,2.18
Liverpool,QPR,1,0,H,1.25,7.0,12.0,1.41,2.79
Man City,Norwich,2,3,A,1.33,5.5,11.0,1.48,2.56
Newcastle,Arsenal,0,1,A,6.0,4.6,1.55,1.53,2.41
Southampton,Stoke,1,1,D,1.75,3.8,5.25,2.11,1.71
Swansea,Fulham,0,3,A,1.8,3.8,4.75,1.79,2.01
Tottenham,Sunderland,1,0,H,1.29,6.0,12.0,1.53,2.43
West Brom,Man United,5,5,D,4.5,3.9,1.83,1.6,2.27
West Ham,Reading,4,2,H,1.67,4.0,5.75,1.64,2.21
