HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Arsenal,Fulham,1,1,D,1.44,4.2,8.0,1.65,2.2,2011
Bolton,Everton,0,2,A,3.1,3.25,2.38,1.85,1.93,2011
Chelsea,Wolves,3,0,H,1.22,6.0,15.0,1.48,2.53,2011
Man United,Newcastle,1,1,D,1.4,4.5,8.5,1.69,2.13,2011
Norwich,QPR,2,1,H,2.1,3.4,3.5,1.83,1.94,2011
Stoke,Blackburn,3,1,H,1.83,3.5,4.5,1.87,1.9,2011
Sunderland,Wigan,1,2,A,1.67,3.6,5.5,1.89,1.88,2011
West Brom,Tottenham,1,3,A,4.0,3.6,1.91,1.76,2.02,2011
Liverpool,Man City,1,1,D,2.75,3.2,2.63,1.84,1.94,2011
Swansea,Aston Villa,0,0,D,2.2,3.25,3.4,2.0,1.78,2011
Aston Villa,Man United,0,1,A,5.0,3.6,1.73,1.88,1.91,2011
Blackburn,Swansea,4,2,H,2.1,3.4,3.5,1.91,1.87,2011
Man City,Norwich,5,1,H,1.17,7.0,17.0,1.37,2.9,2011
Newcastle,Chelsea,0,3,A,3.5,3.4,2.1,1.92,1.86,2011
QPR,West Brom,1,1,D,2.25,3.3,3.25,1.97,1.81,2011
Tottenham,Bolton,3,0,H,1.3,5.0,12.0,1.45,2.6,2011
Wigan,Arsenal,0,4,A,6.0,4.0,1.57,1.66,2.18,2011
Everton,Stoke,0,1,A,1.67,3.6,5.5,1.98,1.81,2011
Wolves,Sunderland,2,1,H,2.4,3.3,3.0,2.01,1.78,2011
Fulham,Liverpool,1,0,H,3.5,3.4,2.1,2.07,1.74,2011
Arsenal,Everton,1,0,H,1.53,4.0,6.5,1.75,2.05,2011
Bolton,Aston Villa,1,2,A,2.5,3.3,2.88,1.83,1.95,2011
Liverpool,QPR,1,0,H,1.33,5.0,10.0,1.65,2.19,2011
Man United,Wolves,4,1,H,1.22,6.0,15.0,1.53,2.4,2011
Norwich,Newcastle,4,2,H,2.4,3.4,2.88,1.81,1.98,2011
Swansea,Fulham,2,0,H,2.63,3.25,2.75,2.21,1.64,2011
West Brom,Wigan,1,2,A,1.67,3.8,5.25,1.87,1.91,2011
Stoke,Tottenham,2,1,H,3.75,3.5,2.0,1.88,1.92,2011
Sunderland,Blackburn,2,1,H,1.83,3.5,4.5,1.8,1.98,2011
Chelsea,Man City,2,1,H,2.4,3.3,3.0,1.77,2.02,2011
Blackburn,West Brom,1,2,A,2.38,3.3,3.0,1.73,2.08,2011
Everton,Norwich,1,1,D,1.62,3.75,6.0,1.75,2.06,2011
Fulham,Bolton,2,0,H,1.62,3.75,6.0,1.81,1.97,2011
Newcastle,Swansea,0,0,D,1.8,3.6,4.5,1.83,1.96,2011
Wigan,Chelsea,1,1,D,9.0,4.75,1.36,1.62,2.25,2011
Wolves,Stoke,1,2,A,2.5,3.25,2.88,1.97,1.81,2011
Aston Villa,Liverpool,0,2,A,4.2,3.4,1.91,2.11,1.71,2011
Man City,Arsenal,1,0,H,1.73,3.75,4.5,1.63,2.24,2011
QPR,Man United,0,2,A,7.5,4.33,1.44,1.77,2.02,2011
Tottenham,Sunderland,1,0,H,1.36,4.75,9.0,1.61,2.26,2011
