HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
Watford,Everton,H,2.25,2.05,2017
West Brom,Huddersfield,A,1.95,2.49,2017
Crystal Palace,Tottenham,A,7.5,1.73,2017
Man United,Chelsea,H,2.29,2.09,2017
Arsenal,Man City,A,4.5,1.49,2017
Burnley,Everton,H,2.5,2.6,2017
Leicester,Bournemouth,D,1.85,1.76,2017
Liverpool,Newcastle,H,1.22,1.41,2017
Southampton,Stoke,D,1.75,2.0,2017
Swansea,West Ham,H,2.6,2.28,2017
Tottenham,Huddersfield,H,1.19,1.57,2017
Watford,West Brom,H,2.14,2.18,2017
Brighton,Arsenal,H,4.2,1.78,2017
Man City,Chelsea,H,1.61,1.69,2017
Crystal Palace,Man United,A,7.0,1.99,2017
Chelsea,Crystal Palace,H,1.3,1.7,2017
Everton,Brighton,H,2.2,2.32,2017
Huddersfield,Swansea,D,2.54,2.52,2017
Man United,Liverpool,H,2.75,1.91,2017
Newcastle,Southampton,H,2.79,2.27,2017
West Brom,Leicester,A,3.0,2.2,2017
West Ham,Burnley,A,2.29,2.46,2017
Arsenal,Watford,H,1.44,1.51,2017
Bournemouth,Tottenham,A,6.5,1.61,2017
Stoke,Man City,A,15.0,1.49,2017
Bournemouth,West Brom,H,1.83,1.95,2017
Huddersfield,Crystal Palace,A,3.0,2.32,2017
Liverpool,Watford,H,1.19,1.41,2017
Stoke,Everton,A,2.5,2.16,2017
Brighton,Leicester,A,2.7,2.26,2017
Crystal Palace,Liverpool,A,7.0,1.57,2017
Everton,Man City,A,9.0,1.62,2017
Man United,Swansea,H,1.25,1.77,2017
Newcastle,Huddersfield,H,1.75,2.23,2017
Watford,Bournemouth,D,2.29,1.83,2017
West Brom,Burnley,A,2.5,2.6,2017
West Ham,Southampton,H,2.7,2.18,2017
Arsenal,Stoke,H,1.28,1.48,2017
Chelsea,Tottenham,A,2.29,2.01,2017
Bournemouth,Crystal Palace,D,2.5,1.83,2017
Brighton,Huddersfield,D,1.85,2.4,2017
Everton,Liverpool,D,4.2,1.84,2017
Leicester,Newcastle,A,1.95,2.04,2017
Man City,Man United,A,1.89,1.84,2017
Stoke,Tottenham,A,11.0,1.63,2017
Watford,Burnley,A,2.39,2.36,2017
West Brom,Swansea,D,2.37,2.35,2017
Arsenal,Southampton,H,1.57,1.64,2017
Chelsea,West Ham,D,1.28,1.58,2017
Burnley,Leicester,H,2.62,2.35,2017
Crystal Palace,Brighton,H,1.9,2.28,2017
Huddersfield,Watford,H,2.62,2.26,2017
Liverpool,Bournemouth,H,1.25,1.38,2017
Southampton,Chelsea,A,4.5,2.0,2017
Swansea,Everton,D,2.54,2.34,2017
Tottenham,Man City,A,2.62,1.67,2017
Man United,West Brom,A,1.18,1.66,2017
Newcastle,Arsenal,H,3.29,1.7,2017
West Ham,Stoke,D,2.0,2.06,2017
Brighton,Tottenham,D,6.5,1.74,2017
Bournemouth,Man United,A,5.0,1.74,2017
Burnley,Chelsea,A,4.0,2.15,2017
Leicester,Southampton,D,2.25,1.92,2017
Watford,Crystal Palace,D,2.89,1.97,2017
West Brom,Liverpool,D,7.5,1.81,2017
Arsenal,West Ham,H,1.55,1.5,2017
Man City,Swansea,H,1.14,1.4,2017
Stoke,Burnley,D,2.29,2.41,2017
Everton,Newcastle,H,2.29,2.23,2017
Burnley,Brighton,D,2.25,2.45,2017
Crystal Palace,Leicester,H,2.04,1.85,2017
Huddersfield,Everton,A,2.62,2.52,2017
Liverpool,Stoke,D,1.33,1.51,2017
Newcastle,West Brom,A,1.85,2.15,2017
Southampton,Bournemouth,H,1.72,1.73,2017
Swansea,Chelsea,A,7.0,1.93,2017
Man United,Arsenal,H,1.44,1.64,2017
West Ham,Man City,A,10.0,1.51,2017
Tottenham,Watford,H,1.16,1.43,2017
Brighton,Man United,H,4.75,1.97,2017
Bournemouth,Swansea,H,2.1,1.86,2017
Everton,Southampton,D,2.89,2.15,2017
Leicester,West Ham,A,2.25,1.89,2017
Stoke,Crystal Palace,A,2.7,1.9,2017
Watford,Newcastle,H,2.37,2.07,2017
West Brom,Tottenham,H,8.0,1.7,2017
Arsenal,Burnley,H,1.57,1.7,2017
Chelsea,Liverpool,H,2.25,1.71,2017
Man City,Huddersfield,D,1.08,1.32,2017
Swansea,Southampton,A,3.1,2.3,2017
Chelsea,Huddersfield,D,1.16,1.56,2017
Leicester,Arsenal,H,3.75,1.54,2017
Man City,Brighton,H,1.12,1.36,2017
Tottenham,Newcastle,H,1.18,1.39,2017
West Ham,Man United,D,4.75,1.81,2017
Burnley,Bournemouth,A,2.14,1.86,2017
Crystal Palace,West Brom,H,1.8,1.75,2017
Huddersfield,Arsenal,A,6.0,1.5,2017
Liverpool,Brighton,H,1.19,1.41,2017
Man United,Watford,H,1.39,1.56,2017
Newcastle,Chelsea,H,6.5,1.8,2017
Southampton,Man City,A,9.0,1.52,2017
Swansea,Stoke,A,1.9,1.76,2017
Tottenham,Leicester,H,1.33,1.41,2017
West Ham,Everton,H,2.45,1.84,2017
