HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Avg>2.5,Avg<2.5
Chelsea,Burnley,2,0,H,1.33,5.0,9.5,1.74,2.11
Leicester,Leeds,1,3,A,1.8,4.0,4.2,1.61,2.34
West Ham,Liverpool,1,3,A,4.33,4.0,1.75,1.65,2.27
Brighton,Tottenham,1,0,H,3.2,3.4,2.25,2.04,1.8
Sheffield United,West Brom,2,1,H,2.0,3.3,4.0,2.28,1.64
Wolves,Arsenal,2,1,H,3.6,3.3,2.1,2.27,1.64
Man United,Southampton,9,0,H,1.4,4.75,7.0,1.58,2.42
Newcastle,Crystal Palace,1,2,A,2.8,3.2,2.6,2.26,1.65
Burnley,Man City,0,2,A,13.0,7.0,1.2,1.63,2.29
Fulham,Leicester,0,2,A,4.0,3.5,1.9,2.0,1.83
Leeds,Everton,1,2,A,2.5,3.5,2.7,1.65,2.26
Aston Villa,West Ham,1,3,A,2.2,3.4,3.25,1.7,2.17
Liverpool,Brighton,0,1,A,1.33,5.25,9.0,1.63,2.3
Tottenham,Chelsea,0,1,A,3.5,3.4,2.1,1.96,1.86
Aston Villa,Arsenal,1,0,H,2.62,3.5,2.6,1.69,2.19
Burnley,Brighton,1,1,D,3.6,3.1,2.2,2.43,1.57
Newcastle,Southampton,3,2,H,3.0,3.3,2.4,1.99,1.83
Fulham,West Ham,0,0,D,3.6,3.5,2.05,1.99,1.83
Man United,Everton,3,3,D,1.53,4.2,6.0,1.69,2.2
Tottenham,West Brom,2,0,H,1.45,4.5,7.0,1.75,2.1
Wolves,Leicester,0,0,D,3.5,3.4,2.1,2.22,1.67
Liverpool,Man City,1,4,A,3.4,3.6,2.05,1.7,2.17
Sheffield United,Chelsea,1,2,A,7.0,4.5,1.45,1.88,1.94
Leeds,Crystal Palace,2,0,H,1.8,3.8,4.2,1.65,2.26
Leicester,Liverpool,3,1,H,3.5,3.4,2.1,1.73,2.13
Crystal Palace,Burnley,0,3,A,2.37,3.1,3.2,2.4,1.58
Man City,Tottenham,3,0,H,1.28,5.75,9.5,1.62,2.33
Brighton,Aston Villa,0,0,D,2.7,3.5,2.5,1.78,2.06
Southampton,Wolves,1,2,A,2.37,3.2,3.1,2.29,1.63
West Brom,Man United,1,1,D,10.0,5.5,1.3,1.54,2.48
Arsenal,Leeds,4,2,H,1.83,3.8,4.0,1.59,2.38
Everton,Fulham,0,2,A,1.85,3.6,4.2,1.99,1.84
West Ham,Sheffield United,3,0,H,1.66,3.75,5.25,2.03,1.79
Chelsea,Newcastle,2,0,H,1.22,6.5,12.0,1.6,2.36
